Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
8.798501690E-1,1.321200085E1,-4.73E+00,1.303995037E1
8.838061690E-1,1.393995094E1,-4.59E+00,1.340400028E1
8.877620150E-1,1.468695068E1,-4.29E+00,1.386300087E1
8.917171980E-1,1.547205067E1,-4.06E+00,1.405500031E1
8.956725050E-1,1.604594994E1,-3.93E+00,1.417005062E1
8.996279670E-1,1.652505112E1,-3.71E+00,1.401705074E1
9.035836500E-1,1.685100174E1,-3.52E+00,1.378695107E1
9.075396500E-1,1.679295158E1,-3.52E+00,1.357605076E1
9.114954970E-1,1.681200027E1,-3.33E+00,1.319295025E1
9.154517360E-1,1.687005043E1,-3.06E+00,1.279095078E1
9.194077360E-1,1.687005043E1,-2.85E+00,1.217805099E1
9.233641980E-1,1.687005043E1,-2.64E+00,1.133595085E1
9.273202700E-1,1.654395103E1,-2.22E+00,1.055100060E1
9.312765780E-1,1.568295097E1,-1.53E+00,1.014900017E1
9.352328850E-1,1.637205124E1,-1.61E+00,9.363000870E0
9.391891690E-1,1.746300125E1,-1.82E+00,8.655000687E0
9.431451690E-1,1.822905159E1,-1.80E+00,8.214000702E0
9.471018610E-1,1.843995094E1,-1.55E+00,8.004000664E0
9.510582460E-1,1.830600166E1,-1.28E+00,7.927050591E0
9.550146300E-1,1.755900002E1,-1.01E+00,8.004000664E0
9.589713230E-1,1.710000038E1,-8.42E-01,8.004000664E0
9.629281450E-1,1.713795090E1,-9.57E-01,7.812000275E0
9.668842990E-1,1.690800095E1,-9.95E-01,7.639950275E0
9.708408370E-1,1.658295059E1,-9.95E-01,7.449000359E0
9.747970530E-1,1.585500050E1,-9.00E-01,7.294950485E0
9.787531300E-1,1.453395081E1,-4.40E-01,7.276050568E0
9.827094380E-1,1.478295040E1,-7.27E-01,6.855000496E0
9.866657450E-1,1.524195099E1,-1.09E+00,6.261000156E0
9.906222070E-1,1.541505051E1,-1.30E+00,5.743950367E0
9.945788990E-1,1.510800076E1,-1.30E+00,5.266050339E0
9.985352260E-1,1.441905022E1,-1.11E+00,4.902000427E0
1.002491226E0,1.369095039E1,-8.80E-01,4.519050121E0
1.006447303E0,1.313595104E1,-7.85E-01,4.135950089E0
1.010403394E0,1.281000042E1,-7.46E-01,3.694950104E0
1.014359471E0,1.256100082E1,-8.42E-01,3.217050076E0
1.018315471E0,1.237005043E1,-9.19E-01,2.737950087E0
1.022271534E0,1.223595047E1,-9.76E-01,2.317050219E0
1.026227842E0,1.192905045E1,-8.80E-01,1.933950067E0
1.030183995E0,1.168005085E1,-8.23E-01,1.723050117E0
1.034139995E0,1.156605053E1,-9.76E-01,1.455000043E0
1.038095918E0,1.141200066E1,-9.57E-01,1.378050089E0
1.042052303E0,1.131705093E1,-8.80E-01,1.206000090E0
1.046008596E0,1.110600090E1,-7.27E-01,1.053000093E0
1.049964519E0,1.080000019E1,-4.59E-01,9.570000172E-1
1.053921134E0,1.068495083E1,-4.59E-01,9.949500561E-1
1.057877442E0,1.076100063E1,-6.51E-01,9.949500561E-1
1.061834211E0,1.064595032E1,-7.08E-01,8.800500631E-1
1.065790980E0,1.032105064E1,-6.51E-01,7.270500064E-1
1.069747370E0,9.861000061E0,-7.65E-01,5.359500051E-1
1.073704216E0,9.745950699E0,-1.40E+00,2.680500150E-1
1.077660832E0,9.535950661E0,-1.57E+00,1.140000075E-1
1.081617201E0,9.172050476E0,-1.40E+00,1.720500141E-1
1.085573586E0,8.692950249E0,-1.21E+00,2.100000083E-1
1.089530047E0,8.214000702E0,-1.38E+00,3.060000241E-1
1.093486610E0,7.792950153E0,-1.61E+00,4.590000212E-1
1.097443379E0,7.449000359E0,-1.86E+00,6.310500503E-1
1.101400225E0,7.237950325E0,-2.01E+00,6.700500250E-1
1.105356889E0,7.066050529E0,-1.95E+00,5.359500051E-1
1.109313119E0,7.468050480E0,-2.57E+00,3.250500262E-1
1.113270273E0,8.233950615E0,-3.04E+00,3.795000166E-2
1.117228201E0,8.578050613E0,-2.95E+00,-1.53E-01
1.121184971E0,8.463000298E0,-2.53E+00,-2.68E-01
1.125141509E0,8.253000259E0,-2.16E+00,-2.48E-01
1.129098019E0,8.253000259E0,-2.05E+00,-4.21E-01
1.133054711E0,8.233950615E0,-2.18E+00,-1.57E+00
1.137011172E0,8.329050064E0,-2.49E+00,-2.11E+00
1.140967379E0,8.368050575E0,-2.74E+00,-2.45E+00
1.144923533E0,8.253000259E0,-2.97E+00,-2.58E+00
1.148880072E0,7.851000309E0,-2.45E+00,-2.20E+00
1.152836461E0,7.888950348E0,-2.60E+00,-2.09E+00
1.156792769E0,8.041950226E0,-3.16E+00,-2.60E+00
1.160749230E0,8.310000420E0,-3.60E+00,-2.58E+00
1.164705451E0,8.214000702E0,-4.08E+00,-2.53E+00
1.168661759E0,8.272050858E0,-4.38E+00,-2.57E+00
1.172618144E0,8.443950653E0,-4.44E+00,-2.58E+00
1.176574533E0,8.692950249E0,-4.37E+00,-2.32E+00
1.180530533E0,9.190950394E0,-4.14E+00,-1.99E+00
1.184486456E0,1.014900017E1,-4.44E+00,-1.51E+00
1.188442605E0,9.994950294E0,-4.16E+00,-6.51E-01
1.192399067E0,9.861000061E0,-3.79E+00,-3.44E-01
1.196355297E0,9.651000023E0,-3.45E+00,-1.72E-01
1.200311437E0,9.727050781E0,-3.48E+00,-5.17E-01
1.204267745E0,9.841950417E0,-3.62E+00,-7.85E-01
1.208224283E0,9.574050903E0,-3.56E+00,-7.08E-01
1.212180682E0,9.459000587E0,-3.12E+00,-4.40E-01
1.216135990E0,9.382950783E0,-2.72E+00,-1.14E-01
1.220090836E0,9.880050659E0,-2.76E+00,2.680500150E-1
1.224047899E0,9.994950294E0,-2.45E+00,6.510000229E-1
1.228005053E0,1.022505093E1,-2.30E+00,1.033950090E0
1.231962207E0,1.041705036E1,-2.28E+00,1.206000090E0
1.235918596E0,1.047405052E1,-2.43E+00,1.147950053E0
1.239874827E0,1.058895016E1,-2.47E+00,9.000000358E-1
1.243831058E0,1.055100060E1,-2.45E+00,6.120000482E-1
1.247786451E0,1.047405052E1,-2.55E+00,2.290500104E-1
1.251742682E0,1.043595028E1,-2.47E+00,0.000000000E0
1.255700221E0,1.070400047E1,-2.30E+00,-2.48E-01
1.259657072E0,1.123995018E1,-1.86E+00,-6.31E-01
1.263613610E0,1.194900036E1,-1.46E+00,-7.85E-01
1.267570610E0,1.240800095E1,-8.04E-01,-5.74E-01
1.271526923E0,1.263795090E1,-4.97E-01,-6.51E-01
1.275483231E0,1.279095078E1,-4.78E-01,-9.00E-01
1.279440154E0,1.267605019E1,-7.61E-02,-9.57E-01
1.283397754E0,1.229295063E1,4.969500303E-1,-6.89E-01
1.287354062E0,1.269495106E1,3.250500262E-1,-8.23E-01
1.291310216E0,1.292505074E1,1.909500062E-1,-8.04E-01
1.295266159E0,1.279095078E1,5.550000072E-1,-4.78E-01
1.299221851E0,1.221705055E1,4.780500233E-1,-2.29E-01
1.303176851E0,1.217805099E1,5.170500278E-1,1.140000075E-1
1.307132164E0,1.166100025E1,7.270500064E-1,9.495000541E-2
1.311088548E0,1.091400051E1,1.072050095E0,6.120000482E-1
1.315045010E0,1.049295044E1,1.263000011E0,1.090950012E0
1.319001447E0,9.919050217E0,1.263000011E0,1.551000118E0
1.322957908E0,8.463000298E0,9.760500193E-1,7.849500179E-1
1.326914139E0,8.157000542E0,5.359500051E-1,1.206000090E0
1.330869548E0,8.023050308E0,-7.61E-02,3.370050192E0
1.334825395E0,7.410000324E0,-1.14E-01,3.847950220E0
1.338781702E0,6.510000229E0,-6.51E-01,3.733950138E0
1.342737779E0,5.208000183E0,-3.44E-01,2.527050018E0
1.346693779E0,4.288949966E0,-9.19E-01,1.741950035E0
1.350650625E0,-1.91E-01,-2.14E+00,3.847950220E0
1.354605803E0,9.379500151E-1,-4.14E+00,2.278050184E0
1.358562880E0,2.794950247E0,-5.23E+00,3.250500262E-1
1.362520649E0,2.700000048E0,-4.61E+00,-1.13E+00
1.366475948E0,2.700000048E0,-3.12E+00,1.359000087E0
1.370432256E0,2.968050241E0,-3.39E+00,4.557000160E0
1.374388564E0,2.182049990E0,-4.61E+00,4.843950272E0
1.378344198E0,2.412000179E0,-5.88E+00,4.288949966E0
1.382299660E0,1.704000115E0,-5.99E+00,3.504000187E0
1.386256660E0,-1.28E+00,-5.74E+00,1.704000115E0
1.390213967E0,-5.36E+00,-5.34E+00,-7.46E-01
1.394169044E0,-1.99E+00,-5.17E+00,-4.75E+00
1.398122736E0,1.800000072E0,-4.42E+00,-6.82E+00
