"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.722968291E0,5.848637695E0,-9.884544983E0,5.451663208E-1
1.732969292E0,5.718109131E0,-8.470136261E0,1.130149841E-1
1.742971291E0,5.506748657E0,-7.489375763E0,-1.215472412E-1
1.752972291E0,5.120851135E0,-6.854845276E0,-2.462379456E-1
1.762974292E0,4.511618042E0,-6.493047638E0,-7.200027466E-2
1.772975292E0,3.927532654E0,-6.303392029E0,6.825805664E-2
1.782977291E0,3.606899414E0,-6.057004395E0,2.718347168E-1
1.792979292E0,3.686533813E0,-5.544769592E0,4.249662781E-1
1.802980292E0,3.683689728E0,-4.941074982E0,5.519023132E-1
1.812982291E0,3.523073730E0,-4.465513916E0,1.126557312E0
1.822983291E0,3.464545441E0,-4.401896210E0,1.156045990E0
1.832985292E0,3.229234772E0,-4.559219055E0,9.626481628E-1
1.842986292E0,2.753973083E0,-4.757406921E0,5.318440247E-1
1.852988292E0,2.128423920E0,-4.871320038E0,3.376977539E-1
1.862989292E0,1.998194733E0,-4.963977356E0,1.147813110E0
1.872991291E0,2.113604736E0,-5.256169739E0,7.988887024E-1
1.882993292E0,1.863025818E0,-5.507497101E0,-3.730242920E-1
1.892994292E0,1.489402771E0,-5.780229950E0,-1.033450928E0
1.902996291E0,1.087937622E0,-6.252797241E0,-1.717229004E0
1.912997291E0,6.725514221E-1,-6.703809357E0,-2.199376373E0
1.922999292E0,6.056405640E-1,-6.973548431E0,-2.413730621E0
1.933000292E0,9.044192505E-1,-7.050937500E0,-2.314786377E0
1.943002291E0,1.363664246E0,-7.109016724E0,-1.847158813E0
1.953004292E0,1.992506561E0,-7.237749023E0,-1.645079041E0
1.963005291E0,2.496807861E0,-7.501500549E0,-1.625619507E0
1.973007292E0,3.090473328E0,-7.856113129E0,-1.683249664E0
1.983008292E0,3.734434204E0,-8.470136261E0,-1.674268341E0
1.993010291E0,4.530029755E0,-9.035061493E0,-1.419947205E0
2.003011291E0,5.123395844E0,-9.335037689E0,-1.210233307E0
2.013013292E0,5.852679291E0,-9.626182251E0,-1.091530151E0
2.023014292E0,6.398594055E0,-1.013946487E1,-1.050216064E0
2.033016291E0,6.685098267E0,-1.080408279E1,-9.997709656E-1
2.043018292E0,6.801107025E0,-1.136945709E1,-9.623487854E-1
2.053019292E0,7.377408600E0,-1.160955780E1,-1.059945831E0
2.063021292E0,8.212521973E0,-1.178843582E1,-1.173709259E0
2.073022292E0,8.866362305E0,-1.217298615E1,-1.182241516E0
2.083024291E0,9.868528290E0,-1.260214371E1,-1.521885223E0
2.093025291E0,1.170266418E1,-1.259391083E1,-2.080074463E0
2.103027292E0,1.334669540E1,-1.239901611E1,-2.572849731E0
2.113029291E0,1.477951584E1,-1.238898697E1,-2.902464294E0
2.123030291E0,1.623284363E1,-1.251816833E1,-3.213218079E0
2.133032292E0,1.742047394E1,-1.292517197E1,-3.385060730E0
2.143033292E0,1.828208221E1,-1.328906525E1,-3.334016876E0
2.153035291E0,1.893891632E1,-1.323891953E1,-2.994373169E0
2.163036291E0,1.944351700E1,-1.279748749E1,-2.672392731E0
2.173038292E0,1.982522324E1,-1.214140182E1,-2.351160736E0
2.183040292E0,1.986758514E1,-1.135403915E1,-1.799857178E0
2.193041292E0,1.939831100E1,-1.050530411E1,-1.234482880E0
2.203043291E0,1.851754257E1,-9.729916534E0,-6.084846497E-1
2.213044291E0,1.745639923E1,-9.009464722E0,8.337661743E-2
2.223046292E0,1.630334702E1,-8.307274933E0,7.906558228E-1
2.233047292E0,1.511227386E1,-7.568860474E0,1.519190826E0
2.243049291E0,1.396401169E1,-6.811435547E0,2.184856567E0
2.253050291E0,1.320015015E1,-6.279441833E0,2.686463470E0
2.263052292E0,1.281604889E1,-5.961652679E0,3.410956879E0
2.273054291E0,1.255693771E1,-5.783074036E0,4.151916046E0
2.283055292E0,1.261112503E1,-5.574258270E0,4.557572479E0
2.293057291E0,1.280616943E1,-5.027145996E0,4.701872406E0
2.303058291E0,1.293505142E1,-4.293222198E0,4.035158844E0
2.313060292E0,1.310599594E1,-3.556304626E0,2.924019470E0
2.323061292E0,1.301229080E1,-2.780917053E0,1.873204651E0
2.333063291E0,1.263193176E1,-2.146536255E0,8.213420105E-1
2.343065292E0,1.233165619E1,-1.956880646E0,5.792953491E-2
2.353066292E0,1.202674026E1,-2.067949677E0,-1.983375549E-1
2.363068291E0,1.173529633E1,-2.176174622E0,-1.073268127E-1
2.373069291E0,1.144340332E1,-2.237696686E0,-1.040336609E-1
2.383071292E0,1.123114471E1,-2.158810730E0,-9.460327148E-2
2.393072292E0,1.121797211E1,-1.909279633E0,-1.664538574E-1
