"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.618907125E0,1.280137939E0,-8.807684326E-1,-5.748046875E-2
3.628909125E0,1.251248016E0,-1.392105103E-1,-6.032455444E-1
3.638910125E0,9.515711975E-1,2.969824219E-1,-8.304730225E-1
3.648911125E0,6.828799438E-1,3.857478333E-1,-7.804769897E-1
3.658913125E0,4.896318054E-1,4.010160828E-1,-9.422904968E-1
3.668914125E0,2.737806702E-1,6.887178040E-1,-1.149759064E0
3.678915125E0,1.916015625E-2,1.203197937E0,-1.243613892E0
3.688917125E0,-2.305206299E-1,1.666035461E0,-1.543290710E0
3.698918125E0,-2.721340942E-1,1.943109283E0,-1.863325195E0
3.708919125E0,-4.352947998E-1,2.232008514E0,-1.894909515E0
3.718920125E0,-6.138734436E-1,2.309996338E0,-1.495689697E0
3.728922125E0,-7.247927856E-1,2.440524902E0,-8.128097534E-1
3.738923125E0,-6.611750793E-1,2.752625885E0,-5.355862427E-1
3.748924125E0,-4.740641785E-1,2.886447601E0,-4.893324280E-1
3.758926125E0,-2.459385681E-1,2.853815460E0,-5.568420410E-1
3.768927125E0,4.894821167E-2,2.830164642E0,-7.276368713E-1
3.778928125E0,3.815565491E-1,2.723436584E0,-9.217831421E-1
3.788930125E0,7.267387390E-1,2.521656189E0,-1.224304047E0
3.798931125E0,1.065035248E0,2.244282990E0,-1.476379852E0
3.808932125E0,1.229094086E0,1.830094299E0,-1.580862579E0
3.818934125E0,1.184786224E0,1.362915802E0,-1.539249115E0
3.828935125E0,9.722282410E-1,9.852511597E-1,-1.265019379E0
3.838936125E0,6.659651184E-1,6.957531738E-1,-7.310797119E-1
3.848937125E0,4.140390015E-1,4.855902100E-1,-6.092330933E-2
3.858939125E0,-1.010398865E-1,3.186872864E-1,1.517544250E0
3.868940125E0,-1.041683807E0,2.655477905E-1,3.783981171E0
3.878941625E0,-9.671388245E-1,1.784289551E-1,3.192561035E0
3.888943625E0,1.317260742E-1,8.352630615E-2,1.050964508E0
3.898944625E0,6.583309937E-1,7.544311523E-2,-4.510121155E-1
3.908945625E0,6.252497864E-1,-1.585203552E-1,-1.716480560E0
3.918947625E0,7.767347717E-1,-5.656736755E-1,-2.849923553E0
3.928948625E0,9.506730652E-1,-1.280437317E0,-4.390519867E0
3.938949625E0,1.144969025E0,-2.935844879E0,-7.648794250E0
3.948950625E0,1.048719177E0,-5.766907654E0,-1.146211441E1
