"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.650141750E0,9.738897858E0,-5.934708710E0,1.600172424E0
1.660205750E0,1.067026108E1,-5.215454407E0,2.361189880E0
1.670268750E0,1.001103195E1,-4.644092560E0,1.869312744E0
1.680331750E0,9.526339874E0,-2.377655640E0,2.840792542E0
1.690394750E0,9.541159058E0,-3.403472443E0,2.396217041E0
1.700457750E0,8.622968445E0,-4.159999237E0,1.912423096E0
1.710520750E0,7.849975891E0,-4.291875000E0,2.084714813E0
1.720583750E0,7.513924713E0,-4.097129974E0,2.438578949E0
1.730646750E0,7.321874084E0,-3.926335144E0,2.062860260E0
1.740709750E0,6.772666168E0,-3.590433655E0,1.071172485E0
1.750772750E0,6.096073151E0,-3.850442963E0,4.288581848E-1
1.760835750E0,5.422174530E0,-4.788093109E0,4.984634399E-1
1.770898750E0,4.493206329E0,-5.602100372E0,1.018032990E0
1.780961750E0,4.320615234E0,-5.401966553E0,1.038240967E0
1.791024750E0,4.389172668E0,-5.019960938E0,5.451663208E-1
1.801087750E0,4.947361908E0,-4.858147430E0,7.634124756E-3
1.811150750E0,5.168152771E0,-5.039869537E0,-4.144880676E-1
1.821213750E0,4.999004517E0,-4.686155090E0,-9.307644653E-1
1.831276750E0,4.887935486E0,-3.857478333E0,-1.415007477E0
1.841339750E0,4.985831909E0,-4.387825470E0,-1.068927155E0
1.851402750E0,6.855144653E0,-5.755980377E0,1.929188232E0
1.861465750E0,7.962990875E0,-5.755531311E0,2.798430634E0
1.871529750E0,8.199049988E0,-4.848717041E0,1.400936737E0
1.881592750E0,8.205935669E0,-4.151916046E0,-6.741979980E-1
1.891655750E0,7.551197205E0,-4.042942657E0,-1.924847260E0
1.901718750E0,7.378755798E0,-4.069437561E0,-2.120789795E0
1.911781750E0,8.040230255E0,-4.118984528E0,-1.659000092E0
1.921844750E0,9.542057190E0,-3.718118134E0,-7.069798279E-1
1.931907750E0,1.138562347E1,-2.649340668E0,-7.466473389E-1
1.941970750E0,1.266366577E1,-1.098266144E0,-2.366728363E0
1.952033750E0,1.302366714E1,-2.327659607E-1,-4.596042480E0
1.962096750E0,1.379516281E1,-1.992356873E-1,-6.864874420E0
1.972159750E0,1.542272827E1,-2.670446777E-1,-7.661517792E0
1.982222750E0,1.670331528E1,1.496887207E-3,-4.557123413E0
1.992285750E0,1.615784958E1,3.817062378E-2,-3.848646698E0
2.002348750E0,1.470601868E1,-2.408491516E-1,-2.773282928E0
2.012411750E0,1.213376770E1,-1.045126648E0,-2.933000793E0
2.022474750E0,1.002854553E1,-1.944007416E0,-3.481160889E0
2.032537750E0,9.654922485E0,-2.235750732E0,-2.896776123E0
2.042599750E0,8.697214050E0,-2.698588257E0,-2.991229706E0
2.052662750E0,8.210126953E0,-2.987786865E0,-3.468587036E0
2.062725750E0,7.846982117E0,-3.264261932E0,-4.267326050E0
2.072788750E0,7.982600098E0,-3.106639709E0,-2.270478516E0
2.082852750E0,9.239835663E0,-1.198557587E0,-1.769620056E0
2.092915750E0,9.266779633E0,-9.975256348E-1,-3.805835724E0
2.102978750E0,9.429191895E0,-3.936513977E0,-4.942871246E0
2.113041750E0,1.059766205E1,-8.013885040E0,-4.292473755E0
2.123104750E0,1.181702637E1,-1.029559021E1,-4.026925964E0
2.133167750E0,1.211341003E1,-1.028466293E1,-4.861889648E0
2.143230750E0,1.187091431E1,-9.513167267E0,-2.677332458E0
2.153293750E0,1.027193939E1,-9.405541077E0,-9.469308472E-1
2.163356750E0,7.165299683E0,-9.443412323E0,-1.958826599E0
2.173419750E0,4.167633362E0,-9.345216522E0,-3.101250916E0
2.183482750E0,1.793420563E0,-8.477770386E0,-2.371518402E0
2.193545750E0,2.185455322E-1,-7.309300232E0,-2.060914307E0
2.203608750E0,7.453001404E-1,-6.434369659E0,-1.081201630E0
2.213671750E0,2.935246124E0,-6.246210938E0,5.370831299E-1
2.223734750E0,4.481380920E0,-6.095474396E0,7.348219299E-1
2.233797750E0,6.423442383E0,-6.121969299E0,1.189276886E0
2.243860750E0,8.240214386E0,-6.467151489E0,1.792971497E0
2.253923750E0,9.033414917E0,-6.327042847E0,1.577868805E0
2.263986750E0,9.548493805E0,-5.821094971E0,1.108145599E0
2.274049750E0,9.487121429E0,-6.101461945E0,4.863386536E-1
2.284112750E0,8.513695679E0,-6.606811066E0,3.522175598E-1
2.294175750E0,7.407496033E0,-6.894363098E0,-8.247848511E-2
2.304238750E0,6.662046204E0,-6.750661926E0,-3.100053406E-1
2.314302750E0,5.785169678E0,-6.695426788E0,1.661544800E-2
2.324365750E0,5.224735107E0,-6.634503479E0,-5.029541016E-2
2.334428750E0,5.159470825E0,-6.384373627E0,2.582130432E-1
2.344491750E0,4.882097626E0,-6.682254181E0,2.719844055E-1
2.354554750E0,4.641098785E0,-6.834038544E0,2.950364685E-1
2.364617750E0,4.579576721E0,-6.569987640E0,4.996609497E-1
2.374680750E0,4.629872131E0,-6.520141296E0,3.767665100E-1
2.384743750E0,5.279371490E0,-5.952371979E0,2.457888794E-1
2.394806750E0,6.359375610E0,-4.928351440E0,5.191204834E-1
2.404869750E0,7.380102997E0,-4.274810486E0,8.783734131E-1
2.414932750E0,7.888745270E0,-4.424499207E0,6.171665955E-1
2.424995750E0,8.501271515E0,-5.130880280E0,4.863386536E-1
2.435058750E0,9.050629120E0,-5.382207642E0,6.262976074E-1
2.445121750E0,9.499096527E0,-5.185816040E0,5.331912231E-1
2.455184750E0,9.270671539E0,-4.893623657E0,7.268884277E-1
2.465247750E0,8.450527039E0,-4.734803925E0,3.715274048E-1
2.475310750E0,7.684420166E0,-5.106031952E0,-2.528242493E-1
2.485373750E0,7.400610352E0,-5.633235626E0,-2.471360779E-1
2.495436750E0,7.543413391E0,-5.846991119E0,-2.544708252E-2
2.505499750E0,7.802674255E0,-5.961652679E0,-1.672023010E-1
2.515562750E0,7.906258850E0,-5.936654663E0,-4.810995483E-1
2.525625750E0,7.956853638E0,-6.140680389E0,-1.137035522E0
2.535689750E0,8.103698273E0,-6.533613281E0,-1.477577362E0
2.545752750E0,7.804021454E0,-6.578669586E0,-1.703307953E0
2.555815750E0,7.557484131E0,-5.781277771E0,-1.397344208E0
2.565878750E0,7.807613983E0,-4.986131287E0,-1.365161133E-1
2.575941750E0,8.102650452E0,-4.902155914E0,7.457492065E-1
2.586004750E0,8.141419830E0,-5.022805023E0,8.027806091E-1
2.596067750E0,7.774682465E0,-5.212310944E0,-2.787203979E-1
2.606130750E0,7.458090820E0,-5.282215576E0,-1.496887207E0
2.616193750E0,7.307204590E0,-5.261408844E0,-2.342778168E0
2.626256750E0,7.347919922E0,-6.144123230E0,-2.720592499E0
2.636319750E0,7.752827911E0,-7.654931488E0,-3.987707520E-1
2.646382750E0,7.769593048E0,-7.843688965E0,1.791773987E-1
2.656445750E0,8.076604614E0,-7.228318634E0,1.090182953E0
2.666508750E0,8.612639923E0,-7.068451080E0,3.245850220E0
2.676571750E0,8.458161163E0,-7.294331360E0,2.822680206E0
2.686634750E0,8.016729126E0,-7.503296814E0,1.559157715E0
2.696697750E0,7.796087952E0,-7.178023224E0,6.777905273E-1
2.706760750E0,7.787406006E0,-6.513854370E0,6.800358582E-1
2.716823750E0,8.111781464E0,-5.972280579E0,7.441026306E-1
2.726886750E0,8.276888123E0,-6.149062958E0,6.322851562E-1
2.736949750E0,8.723708954E0,-6.654711456E0,1.416055298E-1
2.747012750E0,9.421707458E0,-6.627168732E0,-3.100053406E-1
2.757075750E0,1.012763947E1,-6.410718842E0,-3.731739807E-1
2.767138750E0,1.070424042E1,-6.821913757E0,-4.125421143E-1
2.777202750E0,1.107576782E1,-7.248676300E0,-1.135538635E0
2.787265750E0,1.132724487E1,-7.103777618E0,-1.700164490E0
2.797328750E0,1.143322449E1,-7.805368652E0,-1.425186310E0
2.807391750E0,1.018317398E1,-9.332492981E0,-1.944007416E0
2.817454750E0,8.585396576E0,-9.843979340E0,-2.363435211E0
2.827517750E0,7.190896454E0,-9.832453308E0,-1.906884613E0
2.837580750E0,6.545738068E0,-1.007225464E1,-8.735833740E-1
2.847643750E0,5.943989410E0,-1.010892838E1,-2.041754150E-1
2.857706750E0,4.927902374E0,-9.984986115E0,-2.800675964E-1
2.867769750E0,3.520978088E0,-1.010039612E1,6.837780762E-1
2.877832750E0,2.717299347E0,-1.037896683E1,4.761598206E-1
2.887895750E0,3.289559326E0,-1.016416351E1,-4.831951904E-1
2.897958750E0,4.629572754E0,-1.026565247E1,-9.207353210E-1
2.908021750E0,5.956712952E0,-1.092473190E1,-7.436535645E-1
2.918084750E0,7.120393066E0,-1.061981598E1,-9.924362183E-1
2.928147750E0,7.181016998E0,-9.267827454E0,-2.686313782E0
2.938210750E0,7.723339233E0,-7.253765717E0,-1.955683136E0
2.948273750E0,8.666228485E0,-5.379213867E0,-1.250200195E0
2.958336750E0,9.312883759E0,-4.923711090E0,-1.215921478E0
2.968399750E0,8.914711761E0,-5.650449829E0,-2.245330811E0
2.978462750E0,7.814200287E0,-6.110293579E0,-3.230132904E0
2.988525750E0,6.049519958E0,-6.021528168E0,-2.818339233E0
2.998588750E0,4.707111511E0,-5.526208191E0,-1.695524139E0
3.008651750E0,4.389621735E0,-3.833977203E0,-4.308041382E-1
3.018714750E0,4.966222687E0,-1.899849243E0,1.199904785E0
3.028778750E0,5.344486084E0,-2.058968353E0,1.361867981E0
3.038841750E0,3.929179230E0,-4.656516724E0,-1.296454010E0
3.048905500E0,3.007845154E0,-6.621330872E0,-2.883902893E0
3.058968500E0,2.834804993E0,-8.186775513E0,-2.025887146E0
3.069031500E0,3.206631775E0,-9.129814453E0,-1.157842255E0
3.079094500E0,3.929628296E0,-9.526190186E0,3.502716064E-2
3.089157500E0,4.389322357E0,-9.359436951E0,-1.945953369E-1
3.099220500E0,4.791985016E0,-8.918304291E0,-1.315314789E0
3.109283500E0,4.689298553E0,-8.534053345E0,-1.987117767E0
3.119346500E0,4.637955322E0,-8.411458282E0,-1.803150330E0
3.129409500E0,4.529730377E0,-7.871231689E0,-1.923050995E0
3.139472500E0,4.060755615E0,-6.376589813E0,-2.239792328E0
3.149535500E0,3.579506378E0,-5.474864960E0,-1.804647217E0
3.159598500E0,3.065026245E0,-5.300926666E0,-1.339264984E0
3.169661500E0,2.396815796E0,-5.433550873E0,-1.663939819E0
3.179724500E0,1.932331696E0,-5.491330719E0,-2.101929016E0
3.189787500E0,1.523382111E0,-4.920268250E0,-2.489772491E0
3.199850500E0,1.400337982E0,-4.869523773E0,-2.676883392E0
3.209913500E0,1.599723358E0,-4.763095093E0,-2.719844055E0
3.219976500E0,1.146016846E0,-4.509971466E0,-2.970722351E0
3.230039500E0,9.104067993E-1,-4.608915710E0,-3.173101501E0
3.240102500E0,8.786727905E-1,-5.314099274E0,-3.745511169E0
3.250165500E0,8.893006897E-1,-6.761738892E0,-4.474944305E0
3.260228500E0,1.729054413E0,-7.870483246E0,-6.011948090E0
3.270292500E0,2.816992035E0,-8.286468201E0,-6.782246246E0
3.280355500E0,4.037404175E0,-8.084238739E0,-7.347021790E0
3.290418500E0,4.930746460E0,-8.613837433E0,-9.034313049E0
3.300481500E0,6.159840546E0,-9.282796326E0,-1.156480087E1
3.310544500E0,7.711214447E0,-9.964329071E0,-1.316961365E1
3.320607500E0,9.329648895E0,-1.020203476E1,-1.354203918E1
3.330670500E0,9.970765686E0,-1.047746201E1,-1.232596802E1
3.340733500E0,8.848699036E0,-1.017239639E1,-1.035052597E1
3.350796500E0,7.654332733E0,-9.991722107E0,-8.279582520E0
3.360859500E0,6.730154572E0,-1.001013382E1,-5.704038391E0
3.370922500E0,5.560037842E0,-8.604706421E0,-4.942871246E0
3.380985500E0,3.800746307E0,-6.994953918E0,-6.076463928E0
3.391048500E0,1.744921417E0,-5.952371979E0,-7.872429199E0
3.401111500E0,3.022215271E-1,-6.496490479E0,-1.057984909E1
3.411174500E0,5.842350769E-1,-9.370214539E0,-1.459479996E1
3.421237500E0,3.877386932E0,-1.324580521E1,-1.237701187E1
3.431300500E0,7.509883118E0,-1.594005249E1,-2.272274780E-1
3.441363500E0,9.001830597E0,-1.475062592E1,1.059556641E1
3.451426500E0,6.753955078E0,-1.030487091E1,1.088446564E1
3.461489500E0,2.072140961E0,-7.094347229E0,3.372037811E0
3.471552500E0,-2.746488647E0,-6.502927094E0,-8.178243256E0
3.481615500E0,-6.273005219E0,-6.215225372E0,-1.022299118E1
3.491678500E0,-6.589147797E0,-5.397026825E0,-1.857786713E0
3.501741500E0,-4.646487579E0,-4.376598816E0,4.009262695E0
3.511804500E0,-2.350561981E0,-4.044439545E0,7.794141998E0
3.521868500E0,-1.321302338E0,-3.908522186E0,7.727680206E0
3.531931500E0,-1.255588989E0,-3.416794739E0,6.133046265E0
3.541994500E0,-1.971849518E0,-3.818110199E0,5.759572906E0
3.552057500E0,-2.172432404E0,-4.940176849E0,5.111720123E0
3.562120500E0,-3.166814575E0,-5.721551971E0,4.128714294E0
3.572183500E0,-4.509073334E0,-7.236252136E0,3.447331238E0
3.582246500E0,-4.456233215E0,-7.993227997E0,3.619922333E0
3.592309500E0,-3.970792694E0,-8.033344574E0,4.703069916E0
3.602372500E0,-2.915786591E0,-7.756869507E0,5.564229126E0
3.612435500E0,-2.298619995E0,-7.671097870E0,6.274202728E0
3.622498500E0,-7.834707642E-1,-1.194291458E1,5.131778412E0
3.632561500E0,-4.212240601E-1,-2.996917877E1,7.779322815E-1
3.642624500E0,-4.589456177E-1,-3.814682327E1,-1.231339417E0
3.652687500E0,1.739233246E0,-3.079531082E1,-1.628912659E0
